Evoked Response
seconds	EEG
18.758	-4.6832
18.76	-4.68416
18.762	-4.6832
18.764	-4.6864
18.766	-4.6864
18.768	-4.68608
18.77	-4.68864
18.771	-4.6832
18.773	-4.68384
18.775	-4.68416
18.777	-4.68064
18.779	-4.68128
18.781	-4.6864
18.783	-4.68256
18.785	-4.68448
18.787	-4.68736
18.789	-4.688
18.791	-4.6848
18.793	-4.6816
18.795	-4.6848
18.797	-4.6832
18.799	-4.67904
18.801	-4.6848
18.803	-4.68544
18.805	-4.68608
18.807	-4.68608
18.809	-4.68672
18.811	-4.68544
18.813	-4.68512
18.814	-4.68704
18.816	-4.68256
18.818	-4.68
18.82	-4.6848
18.822	-4.6864
18.824	-4.6864
18.826	-4.68896
18.828	-4.6848
18.83	-4.68512
18.832	-4.68576
18.834	-4.68384
18.836	-4.68128
18.838	-4.68448
18.84	-4.6832
18.842	-4.68448
18.844	-4.68416
18.846	-4.68288
18.848	-4.68832
18.85	-4.68576
18.852	-4.68704
18.854	-4.68736
18.855	-4.6864
18.857	-4.68928
18.859	-4.688
18.861	-4.6912
18.863	-4.69248
18.865	-4.69248
18.867	-4.69088
18.869	-4.69152
18.871	-4.68832
18.873	-4.68608
18.875	-4.68288
18.877	-4.68672
18.879	-4.68672
18.881	-4.688
18.883	-4.68704
18.885	-4.69088
18.887	-4.69216
18.889	-4.68768
18.891	-4.68768
18.893	-4.6848
18.895	-4.6832
18.896	-4.68096
18.898	-4.67936
18.9	-4.68128
18.902	-4.6832
18.904	-4.68352
18.906	-4.6832
18.908	-4.6832
18.91	-4.6832
18.912	-4.68032
18.914	-4.68256
18.916	-4.68128
18.918	-4.67968
18.92	-4.67968
18.922	-4.6848
18.924	-4.68128
18.926	-4.68128
18.928	-4.68032
18.93	-4.68192
18.932	-4.68032
18.934	-4.67776
18.936	-4.67936
18.938	-4.68
18.939	-4.67968
18.941	-4.68096
18.943	-4.68224
18.945	-4.68352
18.947	-4.68416
18.949	-4.68576
18.951	-4.68
18.953	-4.67968
18.955	-4.68352
18.957	-4.68512
18.959	-4.68416
18.961	-4.68704
18.963	-4.68384
18.965	-4.69024
18.967	-4.68832
18.969	-4.68768
18.971	-4.68672
18.973	-4.6864
18.975	-4.6848
18.977	-4.68928
18.979	-4.6896
18.98	-4.68704
18.982	-4.69024
18.984	-4.69056
18.986	-4.6912
18.988	-4.68896
18.99	-4.69056
18.992	-4.6848
18.994	-4.68288
18.996	-4.68384
18.998	-4.68864
19	-4.68864
19.002	-4.688
19.004	-4.68512
19.006	-4.69152
19.008	-4.69152
19.01	-4.69088
19.012	-4.68672
19.014	-4.68896
19.016	-4.68768
19.018	-4.68896
19.02	-4.688
19.021	-4.68864
19.023	-4.6864
19.025	-4.69024
19.027	-4.69088
19.029	-4.6896
19.031	-4.68864
19.033	-4.68832
19.035	-4.68672
19.037	-4.68672
19.039	-4.68352
19.041	-4.68832
19.043	-4.68864
19.045	-4.69152
19.047	-4.6944
19.049	-4.69088
19.051	-4.68768
19.053	-4.68576
19.055	-4.68928
19.057	-4.68832
19.059	-4.68608
19.061	-4.6848
19.063	-4.68832
19.064	-4.6912
19.066	-4.69184
19.068	-4.68704
19.07	-4.6896
19.072	-4.69216
19.074	-4.69152
19.076	-4.69056
19.078	-4.69344
19.08	-4.69408
19.082	-4.69504
19.084	-4.69472
19.086	-4.69824
19.088	-4.696
19.09	-4.69376
19.092	-4.68928
19.094	-4.6928
19.096	-4.69184
19.098	-4.6976
19.1	-4.69824
19.102	-4.70112
19.104	-4.6992
19.105	-4.69824
19.107	-4.69568
19.109	-4.69472
19.111	-4.69312
19.113	-4.69184
19.115	-4.69216
19.117	-4.69472
19.119	-4.69152
19.121	-4.69216
19.123	-4.69504
19.125	-4.69312
19.127	-4.69376
19.129	-4.69376
19.131	-4.69184
19.133	-4.6912
19.135	-4.69024
19.137	-4.688
19.139	-4.6896
19.141	-4.68768
19.143	-4.68832
19.145	-4.6896
19.146	-4.69248
19.148	-4.68736
19.15	-4.68736
19.152	-4.68672
19.154	-4.68864
19.156	-4.69024
19.158	-4.69056
